Day,Month,Year,State,Temp_Min,Temp_Max,Rain_mm,Evaporation_mm,Sun_hours,Wind_Direction,Wind_Speed,Time_since_midnight,Temp_9am,RH_9am,Cld_9am,Dir_9am,Spd_9am,MSLP_9am,Temp_3pm,RH_3pm,Cld_3pm,Dir_3pm,Spd_3pm,MSLP_3pm,Temp_Diff,Rain_Indicator,Tomorrow_Rain_Indicator,Tomorrow_Rain_mm
19,8,2023,SA,11.8,15.2,0.8,2.8,0.9,4.0,31.0,250,13.2,94.0,8.0,4.0,17,1024.9,15.1,85.0,0.0,8.0,15.0,1024.8,3.3999999999999986,1,1,0.4
20,8,2023,SA,12.1,16.0,0.4,1.6,4.6,8.0,28.0,816,12.9,95.0,8.0,15.0,11,1026.1,14.8,76.0,7.0,16.0,20.0,1024.1,3.9,1,0,0.0
21,8,2023,SA,8.5,18.9,0.0,1.2,7.8,1.0,33.0,1296,13.7,80.0,1.0,9.0,19,1019.1,18.6,63.0,6.0,16.0,19.0,1015.1,10.4,0,1,13.6
22,8,2023,SA,10.4,14.3,13.6,3.0,10.0,7.0,57.0,216,12.2,72.0,0.0,7.0,28,1021.2,13.8,59.0,1.0,14.0,22.0,1022.7,3.9,1,0,0.0
23,8,2023,SA,5.9,14.9,0.0,1.0,3.8,8.0,31.0,718,9.1,79.0,0.0,9.0,19,1028.6,14.1,60.0,0.0,16.0,17.0,1027.5,9.0,0,0,0.0
24,8,2023,SA,5.1,19.6,0.0,1.4,10.5,8.0,46.0,764,14.2,57.0,0.0,1.0,26,1026.9,19.5,43.0,1.0,16.0,30.0,1024.8,14.500000000000002,0,0,0.0
25,8,2023,SA,9.0,22.4,0.0,3.2,7.7,9.0,30.0,722,14.5,57.0,7.0,5.0,11,1027.0,21.7,35.0,2.0,15.0,15.0,1024.5,13.4,0,0,0.0
26,8,2023,SA,6.9,19.8,0.0,2.2,10.2,9.0,28.0,695,15.2,66.0,1.0,11.0,15,1026.6,19.1,59.0,1.0,13.0,11.0,1023.8,12.9,0,0,0.0
27,8,2023,SA,9.1,16.0,0.0,4.4,7.1,14.0,31.0,782,13.0,72.0,0.0,13.0,9,1027.7,14.8,70.0,7.0,14.0,26.0,1024.5,6.9,0,0,0.0
28,8,2023,SA,6.3,19.9,0.0,2.8,9.2,15.0,39.0,714,11.3,79.0,0.0,3.0,7,1024.6,19.8,56.0,1.0,9.0,9.0,1021.3,13.599999999999998,0,0,0.0
29,8,2023,SA,12.0,25.4,0.0,3.8,4.2,1.0,63.0,792,19.7,39.0,7.0,9.0,26,1015.3,23.6,32.0,0.0,1.0,35.0,1009.6,13.4,0,0,0.0
30,8,2023,SA,12.7,16.0,0.0,3.6,7.7,7.0,41.0,910,14.2,77.0,7.0,7.0,19,1018.3,14.6,63.0,0.0,7.0,28.0,1019.4,3.3000000000000007,0,0,0.0
31,8,2023,SA,10.2,15.5,0.0,3.0,8.6,7.0,33.0,230,12.5,88.0,7.0,4.0,19,1025.0,14.5,75.0,2.0,7.0,17.0,1024.2,5.300000000000001,0,0,0.0
1,9,2023,SA,10.5,15.2,0.0,2.4,5.2,4.0,22.0,715,13.3,75.0,0.0,10.0,9,1027.3,14.9,67.0,3.0,7.0,15.0,1023.5,4.699999999999999,0,0,0.0
2,9,2023,SA,5.4,20.9,0.0,1.8,10.3,9.0,30.0,571,15.0,62.0,7.0,9.0,17,1021.2,20.7,43.0,1.0,8.0,19.0,1017.2,15.499999999999998,0,0,0.0
3,9,2023,SA,11.1,24.8,0.0,4.2,10.3,5.0,57.0,1371,18.2,44.0,0.0,9.0,24,1013.5,24.1,27.0,1.0,9.0,33.0,1006.1,13.7,0,1,1.2
4,9,2023,SA,13.2,16.0,1.2,8.6,9.8,9.0,46.0,15,14.7,76.0,6.0,4.0,31,1005.9,15.5,57.0,2.0,7.0,28.0,1009.5,2.8000000000000007,1,1,1.4
5,9,2023,SA,10.4,16.2,1.4,3.6,9.5,8.0,50.0,87,13.3,51.0,1.0,7.0,20,1018.1,15.5,45.0,1.0,16.0,9.0,1018.3,5.799999999999999,1,1,0.99236276849642
6,9,2023,SA,8.1,23.2,0.99236276849642,0.0,10.6,16.0,61.0,724,16.2,53.0,0.0,1.0,28,1015.4,23.1,28.0,0.0,16.0,33.0,1010.4,15.1,1,1,12.0
7,9,2023,SA,11.5,14.8,12.0,7.6,6.2,14.0,78.0,1430,11.6,89.0,8.0,4.0,30,1006.0,14.0,60.0,3.0,14.0,48.0,1009.0,3.3000000000000007,1,1,3.4
8,9,2023,SA,9.0,13.3,3.4,4.8,8.0,14.0,72.0,10,10.0,75.0,0.0,7.0,31,1025.5,12.9,60.0,0.0,13.0,30.0,1026.9,4.300000000000001,1,1,0.8
9,9,2023,SA,4.3,14.6,0.8,3.6,8.4,4.0,28.0,789,9.9,69.0,7.0,9.0,13,1033.4,13.7,55.0,2.0,7.0,11.0,1031.4,10.3,1,0,0.0
10,9,2023,SA,4.7,17.0,0.0,3.0,10.5,14.0,24.0,868,12.7,71.0,2.0,16.0,6,1034.7,16.0,68.0,0.0,14.0,19.0,1031.5,12.3,0,0,0.0
11,9,2023,SA,7.3,20.0,0.0,2.8,10.6,1.0,30.0,570,17.0,59.0,1.0,1.0,15,1033.3,19.0,47.0,1.0,4.0,17.0,1030.8,12.7,0,0,0.0
12,9,2023,SA,8.2,23.2,0.0,0.0,10.8,16.0,30.0,691,18.0,44.0,0.0,9.0,17,1031.6,22.9,34.0,0.0,8.0,13.0,1028.5,15.0,0,0,0.0
13,9,2023,SA,8.2,25.9,0.0,8.0,10.7,15.0,26.0,769,20.1,48.0,1.0,1.0,9,1028.8,24.9,32.0,2.0,4.0,13.0,1024.9,17.7,0,0,0.0
14,9,2023,SA,15.8,29.4,0.0,5.0,7.6,1.0,70.0,850,23.3,27.0,7.0,1.0,31,1021.6,29.1,17.0,8.0,1.0,43.0,1015.2,13.599999999999998,0,0,0.0
15,9,2023,SA,10.8,20.1,0.0,6.6,10.7,9.0,24.0,457,16.4,73.0,1.0,1.0,11,1023.8,19.7,58.0,0.0,15.0,11.0,1021.5,9.3,0,0,0.0
16,9,2023,SA,7.6,24.0,0.0,3.4,11.1,9.0,26.0,552,17.5,52.0,0.0,9.0,15,1022.8,23.4,33.0,0.0,4.0,13.0,1020.4,16.4,0,0,0.0
17,9,2023,SA,9.1,28.3,0.0,4.0,8.9,9.0,41.0,514,22.7,36.0,0.0,9.0,28,1019.7,22.8,51.0,0.0,14.0,13.0,1014.6,19.200000000000003,0,0,0.0
18,9,2023,SA,14.5,22.8,0.0,4.0,5.4,14.0,37.0,1004,20.8,58.0,6.0,9.0,22,1015.5,19.0,80.0,7.0,4.0,9.0,1012.5,8.3,0,0,0.0
19,9,2023,SA,12.6,20.8,0.0,2.2,9.6,1.0,41.0,675,16.8,82.0,4.0,1.0,13,1012.9,20.1,46.0,1.0,15.0,20.0,1010.7,8.200000000000001,0,1,0.4
20,9,2023,SA,13.8,17.0,0.4,5.2,6.1,15.0,48.0,174,15.3,78.0,4.0,4.0,26,1014.0,16.3,68.0,6.0,14.0,30.0,1015.0,3.1999999999999997,1,1,1.4
21,9,2023,SA,12.3,17.3,1.4,3.8,10.9,4.0,54.0,100,14.3,70.0,4.0,7.0,19,1024.9,16.4,59.0,2.0,7.0,28.0,1025.3,5.0,1,0,0.0
22,9,2023,SA,6.3,18.5,0.0,4.2,10.4,7.0,31.0,879,15.6,56.0,0.0,8.0,4,1029.8,17.5,57.0,3.0,7.0,24.0,1026.1,12.2,0,0,0.0
23,9,2023,SA,10.6,23.2,0.0,5.2,11.3,5.0,33.0,544,15.4,46.0,0.0,5.0,13,1026.1,20.5,39.0,0.0,7.0,19.0,1022.2,12.6,0,0,0.0
24,9,2023,SA,8.7,26.4,0.0,4.6,10.6,9.0,33.0,549,24.5,26.0,0.0,1.0,28,1019.7,24.9,31.0,1.0,14.0,15.0,1016.7,17.7,0,0,0.0
25,9,2023,SA,13.0,21.2,0.0,5.2,11.4,12.0,41.0,1050,18.3,68.0,6.0,6.0,17,1022.5,19.5,59.0,0.0,7.0,28.0,1020.3,8.2,0,0,0.0
26,9,2023,SA,7.5,18.5,0.0,5.0,11.2,12.0,30.0,1127,14.9,64.0,0.0,2.0,7,1021.3,17.3,59.0,0.0,14.0,19.0,1019.2,11.0,0,0,0.0
27,9,2023,SA,11.9,18.5,0.0,5.6,7.7,7.0,48.0,915,14.5,65.0,0.0,2.0,17,1028.7,17.1,63.0,0.0,7.0,31.0,1027.4,6.6,0,0,0.0
28,9,2023,SA,6.6,22.3,0.0,4.0,11.2,14.0,26.0,762,15.9,67.0,0.0,8.0,7,1032.1,17.9,58.0,0.0,14.0,17.0,1027.7,15.7,0,0,0.0
29,9,2023,SA,8.8,28.2,0.0,3.6,11.7,1.0,35.0,618,22.3,37.0,0.0,1.0,20,1025.7,27.7,24.0,0.0,8.0,11.0,1021.0,19.4,0,0,0.0
30,9,2023,SA,10.2,31.1,0.0,6.6,11.6,16.0,52.0,735,24.8,25.0,1.0,1.0,19,1015.2,29.8,16.0,1.0,8.0,30.0,1008.9,20.9,0,0,0.0
1,10,2023,SA,14.2,19.3,0.0,9.0,10.6,15.0,41.0,6,16.2,64.0,0.0,7.0,22,1017.0,17.6,61.0,1.0,7.0,26.0,1015.4,5.100000000000001,0,0,0.0
2,10,2023,SA,9.3,30.8,0.0,4.0,11.5,8.0,94.0,1235,19.3,44.0,0.0,10.0,17,1010.7,28.8,22.0,0.0,16.0,19.0,1005.4,21.5,0,1,2.4
3,10,2023,SA,14.9,19.7,2.4,8.8,8.9,14.0,57.0,774,16.3,67.0,6.0,15.0,26,1011.1,15.2,68.0,7.0,7.0,33.0,1011.2,4.799999999999999,1,1,3.0
4,10,2023,SA,8.5,15.8,3.0,4.4,11.3,7.0,57.0,958,12.4,74.0,5.0,2.0,17,1016.9,14.6,47.0,3.0,7.0,31.0,1018.1,7.300000000000001,1,0,0.0
5,10,2023,SA,12.0,17.1,0.0,6.6,1.5,14.0,46.0,1071,14.4,66.0,8.0,14.0,20,1025.1,17.0,78.0,0.0,4.0,26.0,1025.8,5.100000000000001,0,1,0.6
6,10,2023,SA,10.3,18.9,0.6,4.2,9.0,6.0,41.0,1344,14.1,65.0,7.0,6.0,11,1032.8,17.9,41.0,0.0,6.0,20.0,1031.3,8.599999999999998,1,0,0.0
7,10,2023,SA,10.1,19.9,0.0,4.0,10.7,6.0,41.0,1403,14.6,50.0,0.0,10.0,15,1033.7,17.0,50.0,0.0,4.0,22.0,1031.0,9.8,0,0,0.0
8,10,2023,SA,8.3,18.9,0.0,4.0,11.5,13.0,37.0,1031,16.1,57.0,0.0,14.0,17,1030.6,17.7,55.0,5.0,7.0,24.0,1027.3,10.599999999999998,0,0,0.0
9,10,2023,SA,7.7,22.9,0.0,2.4,12.0,12.0,33.0,1026,16.4,59.0,1.0,14.0,9,1026.8,21.6,48.0,1.0,7.0,20.0,1023.8,15.2,0,0,0.0
10,10,2023,SA,8.1,24.6,0.0,5.4,12.0,14.0,26.0,727,16.4,61.0,0.0,13.0,7,1024.2,20.4,57.0,1.0,7.0,15.0,1021.2,16.5,0,0,0.0
11,10,2023,SA,12.1,32.0,0.0,6.2,9.4,16.0,63.0,731,23.4,33.0,1.0,1.0,24,1018.2,31.2,25.0,1.0,16.0,37.0,1014.7,19.9,0,1,2.0
12,10,2023,SA,10.0,18.5,2.0,9.2,9.8,14.0,81.0,413,15.3,62.0,0.0,7.0,39,1022.3,17.4,58.0,0.0,7.0,31.0,1023.5,8.5,1,0,0.0
13,10,2023,SA,12.7,17.8,0.0,6.6,2.8,7.0,37.0,1397,14.5,67.0,7.0,7.0,19,1028.1,16.8,68.0,0.0,7.0,19.0,1026.1,5.100000000000001,0,0,0.0
14,10,2023,SA,13.9,17.7,0.0,3.0,6.4,14.0,37.0,1408,14.0,82.0,8.0,14.0,28,1025.3,16.8,60.0,0.0,7.0,17.0,1023.1,3.799999999999999,0,1,1.2
15,10,2023,SA,12.4,18.0,1.2,4.4,4.5,4.0,50.0,1272,14.3,82.0,7.0,4.0,20,1021.6,17.1,73.0,7.0,14.0,24.0,1020.0,5.6,1,1,2.0
16,10,2023,SA,12.9,17.8,2.0,3.2,5.3,13.0,54.0,838,14.1,53.0,0.0,2.0,20,1026.0,17.1,52.0,6.0,7.0,30.0,1026.9,4.9,1,0,0.0
17,10,2023,SA,6.9,20.0,0.0,5.0,12.5,13.0,33.0,931,13.6,57.0,1.0,1.0,4,1032.2,16.8,51.0,1.0,7.0,24.0,1028.7,13.1,0,0,0.0
18,10,2023,SA,7.6,25.6,0.0,4.8,12.7,5.0,31.0,507,19.7,32.0,0.0,5.0,17,1026.2,22.6,34.0,0.0,7.0,17.0,1022.2,18.0,0,0,0.0
19,10,2023,SA,10.7,31.2,0.0,6.6,12.7,8.0,28.0,644,22.0,50.0,0.0,8.0,7,1019.2,30.1,15.0,6.0,7.0,19.0,1016.3,20.5,0,0,0.0
20,10,2023,SA,15.6,23.1,0.0,8.8,8.6,14.0,41.0,1174,22.8,30.0,0.0,9.0,15,1014.1,19.1,67.0,0.0,15.0,24.0,1014.3,7.500000000000002,0,0,0.0
21,10,2023,SA,13.4,17.5,0.0,6.2,8.6,14.0,54.0,450,15.0,57.0,7.0,14.0,37,1017.2,16.6,57.0,5.0,14.0,35.0,1017.3,4.1,0,1,0.4
22,10,2023,SA,11.6,17.7,0.4,7.0,8.6,13.0,57.0,1401,14.2,58.0,7.0,13.0,24,1021.5,16.9,47.0,4.0,7.0,31.0,1020.4,6.1,1,0,0.0
23,10,2023,SA,6.0,25.9,0.0,7.0,10.5,9.0,37.0,1373,14.5,55.0,0.0,9.0,20,1018.1,22.3,25.0,6.0,4.0,17.0,1012.4,19.9,0,0,0.0
24,10,2023,SA,14.2,17.9,0.0,7.8,10.9,14.0,65.0,570,16.5,64.0,6.0,4.0,37,1013.6,17.0,49.0,3.0,14.0,43.0,1016.7,3.6999999999999993,0,0,0.0
25,10,2023,SA,10.9,15.4,0.0,8.2,10.9,7.0,59.0,833,12.2,57.0,5.0,7.0,31,1024.7,14.8,50.0,0.0,13.0,37.0,1026.3,4.5,0,1,0.4
26,10,2023,SA,5.3,19.3,0.4,5.6,8.6,12.0,37.0,862,13.4,58.0,0.0,6.0,20,1034.7,18.9,40.0,0.0,12.0,24.0,1032.1,14.0,1,0,0.0
27,10,2023,SA,7.3,23.1,0.0,5.2,12.9,5.0,30.0,445,16.1,42.0,0.0,5.0,17,1031.9,20.5,41.0,2.0,7.0,19.0,1026.6,15.8,0,0,0.0
28,10,2023,SA,13.0,27.6,0.0,7.0,11.3,16.0,61.0,710,20.7,27.0,2.0,1.0,24,1021.5,21.5,53.0,0.0,13.0,30.0,1019.1,14.6,0,0,0.0
29,10,2023,SA,7.8,17.9,0.0,8.4,9.6,7.0,35.0,1246,15.1,65.0,1.0,7.0,13,1016.8,16.9,61.0,0.0,7.0,22.0,1013.1,10.099999999999998,0,0,0.0
30,10,2023,SA,12.4,19.0,0.0,4.6,10.6,7.0,56.0,1319,17.0,66.0,1.0,8.0,26,1011.8,17.4,53.0,0.0,7.0,33.0,1012.4,6.6,0,0,0.0
31,10,2023,SA,12.2,17.8,0.0,4.6,10.1,7.0,48.0,915,14.1,53.0,7.0,12.0,15,1022.3,16.6,49.0,0.0,7.0,33.0,1022.3,5.600000000000001,0,0,0.0
1,11,2023,SA,8.1,21.7,0.0,7.2,12.8,7.0,48.0,835,16.4,45.0,0.0,10.0,9,1026.1,18.1,57.0,0.0,7.0,33.0,1023.0,13.6,0,0,0.0
2,11,2023,SA,10.4,24.4,0.0,6.2,12.3,7.0,39.0,843,16.7,59.0,5.0,8.0,7,1023.6,19.4,61.0,0.0,7.0,28.0,1021.0,13.999999999999998,0,0,0.0
3,11,2023,SA,11.7,22.7,0.0,6.0,11.9,12.0,48.0,1083,17.2,54.0,0.0,6.0,20,1023.4,21.5,36.0,0.0,2.0,26.0,1020.6,11.0,0,0,0.0
4,11,2023,SA,11.3,23.4,0.0,6.8,13.1,11.0,41.0,469,14.4,63.0,1.0,11.0,26,1024.9,23.1,32.0,0.0,12.0,20.0,1021.9,12.099999999999998,0,0,0.0
5,11,2023,SA,9.0,22.3,0.0,7.2,12.7,11.0,37.0,1416,16.1,59.0,0.0,2.0,6,1023.2,20.8,47.0,4.0,13.0,26.0,1020.6,13.3,0,0,0.0
6,11,2023,SA,9.6,21.7,0.0,6.4,13.3,7.0,35.0,868,18.4,65.0,1.0,4.0,6,1018.7,20.3,64.0,0.0,7.0,30.0,1016.3,12.1,0,0,0.0
7,11,2023,SA,11.2,23.0,0.0,6.2,13.2,7.0,39.0,712,17.3,62.0,1.0,14.0,9,1016.6,21.0,61.0,0.0,7.0,31.0,1013.4,11.8,0,0,0.0
8,11,2023,SA,9.7,26.9,0.0,7.0,11.0,7.0,39.0,928,17.5,69.0,0.0,14.0,20,1015.2,21.2,63.0,0.0,7.0,30.0,1012.5,17.2,0,0,0.0
9,11,2023,SA,11.4,30.5,0.0,6.2,13.4,7.0,26.0,683,18.3,62.0,0.0,4.0,11,1015.1,22.6,56.0,1.0,7.0,19.0,1011.3,19.1,0,0,0.0
10,11,2023,SA,14.8,40.0,0.0,7.4,13.0,7.0,54.0,1130,30.5,24.0,3.0,9.0,19,1009.9,38.7,16.0,0.0,16.0,30.0,1006.3,25.2,0,0,0.0
11,11,2023,SA,15.4,23.1,0.0,11.4,10.8,12.0,44.0,493,18.2,55.0,6.0,2.0,28,1018.3,21.4,40.0,7.0,2.0,22.0,1019.3,7.700000000000001,0,0,0.0
12,11,2023,SA,11.0,19.6,0.0,6.8,4.9,7.0,37.0,734,14.5,64.0,7.0,12.0,19,1024.1,19.5,43.0,0.0,2.0,19.0,1023.7,8.600000000000001,0,0,0.0
13,11,2023,SA,9.6,20.0,0.0,5.0,7.9,7.0,41.0,969,17.2,56.0,0.0,16.0,9,1022.5,18.9,65.0,7.0,7.0,30.0,1020.3,10.4,0,1,0.8
14,11,2023,SA,13.6,19.7,0.8,4.8,5.2,7.0,43.0,850,16.3,66.0,8.0,11.0,9,1019.4,18.9,70.0,7.0,7.0,28.0,1017.2,6.1,1,0,0.0
15,11,2023,SA,9.6,22.4,0.0,4.2,12.8,12.0,39.0,1065,16.4,68.0,7.0,7.0,6,1016.6,19.1,62.0,1.0,7.0,26.0,1014.4,12.8,0,0,0.0
16,11,2023,SA,13.4,22.6,0.0,6.8,12.6,12.0,44.0,664,16.6,60.0,7.0,6.0,26,1017.8,21.7,42.0,0.0,6.0,28.0,1017.7,9.2,0,0,0.0
17,11,2023,SA,11.2,24.1,0.0,9.0,13.6,14.0,39.0,837,15.6,54.0,1.0,9.0,7,1022.9,20.1,50.0,0.0,7.0,31.0,1020.4,12.900000000000002,0,0,0.0
18,11,2023,SA,9.1,23.3,0.0,6.4,12.4,13.0,35.0,944,17.4,69.0,6.0,4.0,13,1020.4,20.2,64.0,5.0,7.0,24.0,1017.6,14.2,0,0,0.0
19,11,2023,SA,13.6,21.5,0.0,6.0,11.8,7.0,35.0,797,19.5,61.0,1.0,4.0,7,1019.1,20.0,65.0,5.0,7.0,24.0,1017.9,7.9,0,0,0.0
20,11,2023,SA,13.4,23.0,0.0,7.4,10.2,13.0,46.0,979,18.9,58.0,7.0,8.0,9,1020.5,21.2,61.0,0.0,7.0,30.0,1018.0,9.6,0,0,0.0
21,11,2023,SA,12.9,24.3,0.0,6.4,13.6,12.0,46.0,1187,17.9,59.0,1.0,12.0,24,1021.4,23.2,39.0,0.0,2.0,28.0,1020.1,11.4,0,0,0.0
22,11,2023,SA,14.3,25.2,0.0,8.6,13.5,6.0,50.0,32,17.2,62.0,0.0,6.0,26,1023.9,24.2,43.0,0.0,12.0,28.0,1020.8,10.9,0,0,0.0
23,11,2023,SA,14.6,18.1,0.0,9.6,0.8,6.0,33.0,1205,17.9,60.0,7.0,8.0,9,1022.7,17.1,92.0,0.0,4.0,13.0,1019.4,3.5000000000000018,0,1,18.8
24,11,2023,SA,14.4,20.1,18.8,2.6,6.2,14.0,31.0,749,18.1,87.0,6.0,13.0,9,1014.9,19.1,72.0,0.0,7.0,24.0,1014.0,5.700000000000001,1,0,0.0
25,11,2023,SA,15.1,20.5,0.0,4.0,6.8,7.0,41.0,892,17.9,75.0,0.0,14.0,20,1015.0,19.5,69.0,5.0,7.0,26.0,1014.4,5.4,0,0,0.0
26,11,2023,SA,15.7,23.7,0.0,4.0,6.4,6.0,39.0,1276,17.0,71.0,7.0,6.0,20,1016.0,21.7,50.0,6.0,6.0,17.0,1014.6,8.0,0,0,0.0
27,11,2023,SA,13.8,26.4,0.0,6.4,11.4,6.0,54.0,1194,18.9,59.0,0.0,6.0,17,1014.4,25.1,39.0,0.0,6.0,24.0,1009.5,12.599999999999998,0,1,36.8
28,11,2023,SA,11.4,19.6,36.8,8.8,0.4,11.0,72.0,294,12.5,89.0,8.0,6.0,43,1009.5,18.1,68.0,7.0,6.0,31.0,1007.7,8.200000000000001,1,1,2.6
29,11,2023,SA,12.2,23.2,2.6,3.0,10.6,7.0,46.0,774,19.3,69.0,5.0,12.0,20,1010.4,20.0,72.0,5.0,13.0,28.0,1010.3,11.0,1,0,0.0
30,11,2023,SA,15.7,27.1,0.0,5.8,11.0,12.0,39.0,42,18.1,69.0,7.0,11.0,19,1012.7,25.4,52.0,2.0,11.0,19.0,1009.4,11.400000000000002,0,0,0.0
1,12,2023,SA,14.0,22.7,0.0,8.0,12.7,7.0,43.0,769,20.6,57.0,0.0,4.0,13,1010.0,21.6,59.0,0.0,7.0,30.0,1008.6,8.7,0,0,0.0
2,12,2023,SA,15.2,21.8,0.0,7.0,7.4,7.0,37.0,781,17.9,73.0,6.0,2.0,19,1014.3,20.4,52.0,0.0,2.0,26.0,1014.8,6.600000000000001,0,0,0.0
3,12,2023,SA,10.0,28.5,0.0,6.8,12.6,7.0,30.0,784,17.4,65.0,1.0,16.0,4,1017.2,21.5,63.0,0.0,7.0,26.0,1014.8,18.5,0,0,0.0
4,12,2023,SA,15.9,34.4,0.0,6.2,14.0,4.0,41.0,817,28.5,25.0,1.0,1.0,20,1013.3,25.5,52.0,1.0,7.0,33.0,1012.4,18.5,0,0,0.0
5,12,2023,SA,19.5,25.8,0.0,8.4,0.0,7.0,39.0,962,23.3,57.0,7.0,3.0,6,1013.8,22.2,69.0,0.0,14.0,15.0,1015.5,6.300000000000001,0,0,0.0
6,12,2023,SA,15.7,30.2,0.0,0.0,6.6,2.0,57.0,1028,20.4,63.0,8.0,7.0,9,1018.2,22.6,63.0,5.0,7.0,31.0,1014.8,14.5,0,0,0.0
7,12,2023,SA,19.3,32.5,0.0,13.4,0.7,7.0,35.0,942,21.3,55.0,7.0,7.0,13,1016.8,25.8,51.0,0.0,14.0,17.0,1013.0,13.2,0,0,0.0
8,12,2023,SA,21.3,33.1,0.0,5.8,2.0,9.0,48.0,340,28.5,48.0,0.0,11.0,9,1005.3,25.3,69.0,0.0,3.0,2.0,1005.0,11.8,0,1,3.6
9,12,2023,SA,16.0,16.0,3.6,4.8,0.0,12.0,52.0,1279,16.0,89.0,8.0,2.0,17,1014.8,15.0,88.0,8.0,12.0,19.0,1016.5,0.0,1,1,31.0
10,12,2023,SA,13.2,21.2,31.0,0.2,0.0,6.0,56.0,901,13.5,84.0,8.0,11.0,17,1018.9,15.4,75.0,0.0,6.0,20.0,1014.4,8.0,1,1,7.2
11,12,2023,SA,13.4,25.2,7.2,1.8,1.7,11.0,85.0,274,20.2,79.0,7.0,11.0,39,1008.4,20.0,86.0,8.0,8.0,35.0,1009.1,11.8,1,1,10.0
